"song","tags"
"Indian Summer Instr-JP","Happy,Upbeat,Triumphant,Relaxing,Calm,Feel Good"
"Down With That Instr-JP","Happy,Upbeat,Determined,Travel,Laid Back,Spanish Guitar"
"Devil May Care-JP","Tense,Tension,troubling revelation,gone wrong,secrets revealed,Anxious,Nervous,Quirky Tension"
"No Boundaries-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"Mr. Hollowhead-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"Flight of the Mermaid Slow-JP","french,hot club,Gypsy Jazz,Classical"
"Flight of the Mermaid Fast-JP","french,hot club,Gypsy Jazz,Classical"
"Turning the Screw-JP","Tense,Tension,troubling revelation,gone wrong,secrets revealed,Anxious,Nervous,Quirky Tension"
"Ready for Launch-JP","Driving,Determined,Techy,Technology,techological,Edgy,Winning,Winner,tenacity,driven"
"Superior 001-JP","Driving,80s,90s,Car Commercial,funk elements,Determined"
"Sonrisa Tuya-MG-JP","honduras,central americano,hondurian,Vacation,Paradise,Tropical Vacation"
"Where Youre-JP","Robotic,80s,Synth,Cheesy,Synthesizers,electro,Retro"
"It A Wonderful Day-JP","Robotic,80s,Synth,Cheesy,Synthesizers,electro,Retro"
"Funky Robot-JP","80s,Retro,Techno,Funky,Electronica,Synth,Robot,Robotic"
"Homie Army City-JP","Fun,Energetic,Silly,Party"
"Fire In The Hole 001-JP","Driving,Energetic,Bluesy,Tough,Determined,Blues Rock"
"The Funkin Low Down-JP","Funky,southern funk,blues funk,Nu Metal,mashup,fusion"
"Bombs Away 004-JP","American,Proud,Wild,80s,1980s,Rock"
"Stone Cold Sober-JP","Indie,Rock,folk,Heartfelt,Spiritual,Indie Rock"
"Melancholy Folk-JP","Acoustic Folk,Laid Back,Organic,Gentle,warm,Family"
"Lazy Louisiana Afternoon-JP","Rootsy,Bluesy,Blues,Southern,American,Roots,Louisiana,Deep South,Swamp,stomping"
"Atlantis Bound-JP","Anthemic,Inspirational,Epic,Build Up"
"Easy Does It Master-JP","Chill,Chillwave,Relaxed,Smooth,Elevator,hold music"
"The Start Up 001-JP","808,Trap,Dirty South,Tough,Street,Gangsta"
"The Horror 003-JP","808,Trap,Dirty South,Tough,Street,Gangsta"
"Switch Sides-JP","808,Trap,Dirty South,Tough,Street,Gangsta"
"Boogie Bounce-JP","Trap,808,Rap,Urban,Tough,Dirty South"
"Bag Of Nuts-JP","Trap,808,Rap,Urban,Serious,Tough,Conflict"
"Give Me the Run Around v2-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"EH_Eagle Festival_Travel to Festival v2-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Travel to Festival v2 Perc-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Travel to Festival v2 No Perc-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Travel to Festival v2 Strings-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Travel to Festival v2 Leads Atmos-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Travel to Festival Woodwinds-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Travel to Festival Mix-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Aisholpan's Outfit 001-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Aisholpan's Outfit v2 Mix-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Preparing for Festival Mix-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Eagle Festival_Setting the Stage v2-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Open_Eagle Sacrifice Mix-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"EH_Open_Opening Shot Mix-JP","eagle huntress,aisholpan,first female eagle hunter,kazakh family,Traditional,pinnacle of hunting,mongolian steppe,on the hunt,eagles ready,breaktaking,Awe Inspiring,Big Moment,Brazen,epic narrative,Chase Sequence"
"Penguins vs Donkeys V2-JP","playful animals,Fun in the Sun,Summer Sun,rough housing,explore the zoo,curious critters"
"Anticipated Reaction V2-JP","Falling in Love,Beautiful,Thankful,acoustic harmony,loving relationship,safe and warm,happy animals"
"Looking Upwards V2-JP","Falling in Love,Beautiful,Thankful,acoustic harmony,loving relationship,safe and warm,happy animals"
"Tick Tock Invento-JP","Deliberation,Tension,Build,Decision"
"Robotics Invento-JP","Energetic,Fun,Happy,Robots"
"Midnight Rain-JP","Soft,Love,Downtempo,IDM,Smooth,Relaxing"
"Reunion 003-JP","Meditative,Ambient,Slow Motion,Depressed,atmospheric,Outer Space"
"Comedown-JP","Ambient,Sad,Melancholy,Lonely,alone,Pensive,introspective,Ethereal,Depressed"
"Burial 001-JP","Dark,Mysterious,Soundscape,Atmosphere,Unsettling,Nervous"
"Nebula 003-JP","space,Floating,suspended,Atmosphere,Outer Space,Ambient"
"Mischief Lounge-JP","Bassoon,Lounge,Comedy,Cute,Silly,Detective,Retro,Cartoon,Esquivel,Undercover Boss,Real Housewives,30 Rock,Latin Beat,Latin"
"Fun Comedy Mischievous Track-JP","Fun,Dramedy,Cute,Sneaky,Tricky,Practical Joke,Real Housewives,Undercover Boss,kardasians"
"Reggae You-JP","Phones,tablets,Computers,App,Video Game,Cute,Playful,Light,Bubbly"
"Natures Way-JP","Nature,Uplifting,Laid Back,Calm,Soothing,Natural,Feel Good,Moving,ChillOut,Downtempo,Ninjatune,Ninja Tune,Euphoric,atmospheric,Liquor Commercial,beats,Jazzy,Acid Jazz"
"Sand Dunes-JP","80s,Video Game,Electronic,Synth,Synths,Adventurous"
"Echo Sounder-JP","Groovy,Funky,80s,90s,Fashion,Feel Good"
"Funk N Strum 2-JP","80s,Throwback,Retro,Synths,Playful,Happy"
"Dancing Street Alt 1 2-JP","21st century,Corporate,Advertising,Infomercial,Call Me Maybe,Exciting"
"Roll the Dice Master-JP","build it,how things work,home improvement show,builders,home builders,Road Trip,On the road"
"Eyes Wide Open Full Track 2-JP","Feel Good,Rock,Heartfelt,Corporate,Happy,Overcoming"
"The Lighthouse Duet M 2-JP","Acoustic,Mellow,Nature,documentary,flowing,Calming,Natural"
"Under The Apple Tree Full 2-JP","Laid Back,Outdoors,Happy,Country,Calm,Gentle"
"Two of A Kind full track 2-JP","Two Step,2 Step,Country,Laid Back,Calm,Family,Feel Good"
"Give Me the Run Around-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"You Sleigh Me-JP","festive,Christmas,Sleigh Ride,Happy,Joyous,Joyful,Choir,Innocent,Holidays,sleigh,children's choir,Wes Anderson,Royal Tennenbaums"
"In Your Own Skin-JP","Party,Fun,Vocal Samples,90s,Club,Hot"
"Big Bad Wolf-JP","Tough,Badass,Bad Ass,Motorcycles,Biker,stunt"
"The Times We Had Master-JP","Smooth,Chill,Sexy,R&B,Relaxed,vibe"
"Surround Me Master-JP","Strut,Club,Hot,Sexy,Flashy,Clubbing"
"Push the Signs Master-JP","Funky,Funk,Groovy,Grooving,smooth funk,Retro"
"Boat of Dreams Master-JP","Chill,Chill Out,Chillwave,Relaxed,Smooth,product demo,L.A.,Los Angeles"
"Bad Girl Master-JP","electro,Pop,Synth Pop,Synthesizers,Energetic,Energy"
"Season Opening Shutout V3-JP","Dark,Gritty,dirty electro,distorted synths,Badass,focused pursuit,Syfy,Science Fiction,fashionable edm,Night Life,Catwalk,Fashion show"
"Two Minds-JP","Clock Ticking,Waiting,Contemplative,restless,Crime,stranger things,Clock"
"Una Noche 001-JP","Bossa Nova,BRAZIL,Romance,Travel,Beach,Relaxed"
"Unknown-JP","Mystery,Sparse,Investigative,Drama,Crime,stranger things"
"Water of Life-JP","Slide Guitar,Serene,Peaceful,Organic,Southern,Country"
"We are One 004-JP","Synth,Guitar driven,driven,Determined,Exciting,Challenge"
"Take the Turnpike-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality bed"
"Girls and Boys 1984 Main-JP","Synthpop,synthwave,outrun,Drive,stranger things,80s"
"Flashdance 1984 Main-JP","Synthpop,synthwave,outrun,Drive,Futuristic,stranger things"
"Drive It Hip Hop Main-JP","Driving,Determined,Brooding,Dark,Serious,Bristol"
"West Coasting With Me-JP","West Coast,Hip Hop,Cool,Chill,Swagger,Street,Old School,Dramedy,Gangsta,Vocoder"
"Flip it to the West Side-JP","West Coast,Hip Hop,Cool,Chill,Swagger,Street,Old School,Dramedy,Gangsta"
"Scary Urban Thought-JP","Worried,Anxious,Ghetto,Gangster,Gangsta,Trap"
"Hurry Up 004-JP","Positive Hip Hop,dreamy hip hop,Light Hearted,Vacation,Plucky,Thankful,Paradise,Quirky Hip Hop"
"Dank Dream BED-JP","Positive Hip Hop,dreamy hip hop,Light Hearted,Vacation,Plucky,Thankful,Paradise,Quirky Hip Hop"
"What Else is There-JP","Spacey,espionnage,Unsolved,Crime,Mystery,Intrigue,stranger things,CSI,american crime story"
"Stranger Danger 001-JP","Suspenseful,Risky,space,Tension,80s,stranger things,Crime"
"Mesmerized 002-JP","Intrigue,Espionage,questioning,Spy,James Bond,007,Mission Impossible,Detective,Chill,Funk"
"Heavy Duty 001-JP","Action,Motivational,Hard,Driving,Tough,Gritty,Extreme Sports,Car Commercial,Film/TV Music,Film Score,Stings,Electronica"
"Atomic 001-JP","Slow,Positive,Heartwarming,Dreamy,Building,moody,Slow Build"
"Da Bang Bang-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"As We Were-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Fast Time High-JP","Driving,Determined,Upbeat,blues riffs,Cool,Strutting"
"Players Fantasy-JP","Strut,Challenge,Driving,Determined,Upbeat,Strutting"
"Livig it Up-JP","Upbeat,driven,Driving,Fun,Sunny,Summer"
"Crease my Khakis-JP","Sexy,hip hop underscore,geeking out,reality bed,laid back hip hop,classic vibes,west coast funk,Old School Funk,g funk,West Side,hit the pavement dam funk"
"Get Some Answers-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality bed"
"Counting Seastars-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality bed"
"Fun With Fam-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Walk on Down-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality bed"
"Pretty Face 002-JP","Sassy,Sexy,Rocking,Bluesey"
"Mellostorm-JP","Edgy,Sassy,Dramatic"
"Let It Ride 003-JP","Edgy,Sassy,Dramatic,Epic"
"Falling Down 003-JP","Sassy,Sexy,Rocking,Bluesey"
"Bad Girls-JP","Sleazy,Sassy,Groovy,Retro"
"Anything Cool-MG-JP","upbeat biker rock,Motorcycles,on the hunt,friendly bikers,friendly tough guys,Restoration,Fixer Upper,On the Prowl,Roadtrip,Fun in the Sun,upbeat rock"
"Beachfront Drivethru-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Monkey Business-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"My Home Is Your Home-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality bed"
"Still Going Strong-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Meloncholy Melody-JP","Momentous,Emotional,Dramatic,Depressed,80s,Serious"
"Good Vibes 005-JP","Fun,Light,Carefree,Hip Hop,Urban,Upbeat"
"Trap da Hallz-JP","Trap,Holidays,Ghetto,Bling,baller,Shimmering,Synth Pad"
"Its Lit-JP","Trap,Chill,Cool,Flashy,Fashion,Bling"
"Drinking Up Main-JP","Driving,pumping,Rave,Party,Exciting,Fashion,Sexy"
"Pop More BE Main-JP","Swagger,Proud,Strut,Determined,Driving,Upbeat"
"Girl Talk Be Main-JP","Celebratory,Party,Joyous,Energized,Fashion,Upbeat,Runway,Project Runway"
"Be Marching In Main-JP","Sports,Action,Energized,Driving,NBA,Basketball"
"Duck Calling AM Main-JP","Serious,Determined,Repetitive,Worried,Pensive,Driving"
"Sunny Days-instr 001-JP","Sweet,Sentimental,Indie,Anthemic,Heartfelt,Earnest"
"Sunny Days 005-JP","Sweet,Sentimental,Indie,Anthemic,Heartfelt,Earnest"
"Just Keep Dancing-JP","Sweet,Sentimental,Indie,Anthemic,Heartfelt,Earnest,Claps,Upbeat,Dance,Club,Bar,Money,Hipster"
"Full Flight-JP","Driving,Tough,Proud,Hipster,Hip,Dramatic"
"Crank It Down-JP","Crunchy,grimy,Trap,Modern Hip Hop,dark synths,punchy bass"
"Creaking Door-JP","Impending Doom,dangerous situation,creepy monsters,Syfy,science fiction tension,unleash the beast,growing concern,creepy crawlies,tense moments"
"Apparuit Diaboli-JP","Impending Doom,dangerous situation,creepy monsters,Syfy,science fiction tension,unleash the beast,growing concern,creepy crawlies,tense moments"
"Something To Hide-JP","Mischievous,Sneaky,Urban,Trap,Tricky,Practical Joke"
"Continue To Breathe-JP","Trance,Drone,Unsettling,Nervous,Suspenseful,unnerving"
"Stay Behind-JP","Deep House,night bass,edm,EDC,future house,sci fi dance music,Syfy,dance floor killer,early 90s techno,Catwalk,walking the runway,Flashing Lights"
"Reality Sinks In-OHM-JP","Sentimental Moment,low energy,after the birth,Newborn,Sleepy Time,beautiful soul"
"Crickle Down-JP","Sexy,hip hop underscore,geeking out,reality bed,laid back hip hop,classic vibes,Trap,Ratchet,turnt"
"Make the Drop-JP","Sexy,hip hop underscore,geeking out,reality bed,laid back hip hop,classic vibes,Trap,Ratchet,turnt up"
"An Ending Alt-JP","stranger things"
"When Our Work Is Done-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Dance Your Troubles Away-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Talkin Schlock-JP","laid back hip hop,Relaxed Hip Hop,slumpy,Chillin,Relaxing,funky bed"
"Letter To You-Instr-JP","Heartfelt,Sweet,Nostalgic,Remembering,Nostalgia,Lonely"
"I Want It Now Full Version w Vocal-JP","Intense,Driving,Tough,Gritty,Industrial,Dark"
"Not Enuff Chrome-MG-JP","upbeat biker rock,Motorcycles,on the hunt,friendly bikers,friendly tough guys,Restoration,Fixer Upper,On the Prowl,Roadtrip,Fun in the Sun,upbeat rock"
"I Wanna Be Bad 60 Second Instr-JP","Exciting,Energetic,Extreme,High Energy,Technology,Car Commercial,Fast Car"
"Better Days-Instr 001-JP","Beautiful,Floating,Heartfelt,Emotional,Death,reflective,Pretty,Piano,Moving,solo piano"
"Never Give Up-Instr 002-JP","Ethereal,Spacey,Indie,Moving,Emotional,moody,Airy,Modern,Futuristic"
"My Day-Instr 001-JP","Techy,Technology,How Stuff Works,Edgy,80s,Electronic"
"Feelin Good 002-JP","Soul,Positive,Fun,Dance,Kitsch,kitschy"
"Brand New Shoes-JP","Fun,bouncy,Quirky,Kitsch,jazz,Kids,Roger Rabbit"
"Airborn 001-JP","Acoustic,Inspiring,Positive,Driving,folky,folk,Anthemic,stomping"
"Good King Wenceslas 002-JP","coffee,Starbucks,Twee,Xmas,Christmas,cheerful,Light,folky,Bright,Breezy,cheerful,Fun,Holidays,Christmas"
"Whimsical Feelings-JP","Mysterious,Mystery,Intrigue,Intriguing,american crime story,the people v oj simpson"
"Trap Face-JP","Chill,Old School,Serious,Determined,focused,Samples"
"Slighly Cracked-JP","Chill,Old School,Serious,Determined,focused,Samples"
"Now Its Your Turn-JP","Chill,Old School,Serious,Determined,focused,Samples"
"Karate Kicking-JP","Chill,Old School,Serious,Determined,focused,Samples"
"He Ordered Champagne-JP","Light Tension,Old School,Serious,Determined,focused,Samples"
"Freak Yall-JP","Chill,Old School,Serious,Determined,focused,Cool"
"Fascinate Me-JP","Chill,Old School,Serious,Determined,focused,Samples,Asian,Soaring"
"Clear The Air 001-JP","Chill,Old School,Serious,Determined,focused,Samples"
"All Day Music-JP","Chill,Old School,Serious,Determined,focused,Samples"
"5 Doors Down-JP","West Coast,Tough,Street,Proud,Strut,Hip Hop,Old School"
"Rolling and a Rocking-JP","Playful,Kids,Light,Children,Southern,Playing"
"Skunky Funk Monk-JP","Funky,Jammy,Jam,Funk,Retro,Throwback,Groovy"
"Afterglow 006-JP","stranger things,Investigative,pulsing,Intense,Crime,CSI"
"Downward Phase-JP","Dark,Anticipation,Worry,Epic"
"Cathedrals In A Library Book-JP","Celebration,happy build,Big Reveal,Success,victory story,joyous rock,Positive,Wedding,the right dress,perfect fit"
"Holy Puta-JP","Ultimate Fighting Championship,Fight,Punch,nu-metal"
"Funky Beatnik-JP","Funky,Upbeat,Silly,Spy,Detective,70s,Retro,Chill,Funny,Comedy"
"Concrete & Tile-MG-JP","upbeat biker rock,Motorcycles,on the hunt,friendly bikers,friendly tough guys,Restoration,Fixer Upper,On the Prowl,Roadtrip,Fun in the Sun,upbeat rock"
"Post Partum-OHM-JP","Sentimental Moment,low energy,after the birth,Newborn,Sleepy Time,beautiful soul"
"After the Birth-OHM-JP","Sentimental Moment,low energy,after the birth,Newborn,Sleepy Time,beautiful soul"
"An Epic Journey-JP","Heavy,Epic,Intense,Battle,Lord of the Rings,Game of Thrones"
"Dark Forces-JP","Dark,Edgy,Video Game,Heavy,Techy,Futuristic,Apocalyptic,Crossover,mad max 3,Mad Max,fusion"
"Sunday Morning 005-JP","Swung,bouncy,Carefree,Twee,Sweet,Cute"
"Taking It Cool Before Show-JP","Heroic,Proud,Victorious,News,Story,Coverage,veep,Election Day"
"Fiery News-JP","Heroic,Epic,Battle,War,NFL,ESPN,Sports"
"Space Bass-JP","Deep House,night bass,edm,EDC,future house,sci fi dance music,Syfy,dance floor killer,early 90s techno,Catwalk,walking the runway,Flashing Lights"
"Dance Yo Ass Off-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Deep Thoughts 004-JP","Urban,Chill,chillax,R&B,Relaxed,Cool"
"The Show 003-JP","Tough,Attitude,Chill,Proud,Fashion,Cool"
"Monsters in my Head-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"I Got Power-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"Keep Trying 001-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"Gotta Win-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"Live Your Dreams 002-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"When My Homies Call-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"Conquer 92 Master-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"Odd Person-JP","Thug,Ghetto,Proud,Gangsta,Urban,Street"
"You Have This-MG-JP","upbeat biker rock,Motorcycles,on the hunt,friendly bikers,friendly tough guys,Restoration,Fixer Upper,On the Prowl,Roadtrip,Fun in the Sun,upbeat rock"
"Deflector Array-JP","Club,Dance,space,4am"
"Corndog City-JP","Happy,Fun,Montage,Vacation"
"Hold Me Back Boys-MG-JP","upbeat biker rock,Motorcycles,on the hunt,friendly bikers,friendly tough guys,Restoration,Fixer Upper,On the Prowl,Roadtrip,Fun in the Sun,upbeat rock"
"A Good Day 002-JP","Funky,Soul,Jazzy,Smooth,Retro,Funk"
"Bacon and Beans-JP","Funky,Soul,Jazzy,Hip Hop,Retro,Laid Back"
"Broadway Funk Alt-JP","Funky,Soul,Jazzy,Smooth,Laid Back,Chill"
"2000 Funk Alt-JP","Funky,Soul,Jazzy,Smooth,Jammy,Retro"
"80s Rush Alt-JP","Funky,Soul,Jazzy,Smooth,80s,1980s"
"Steep Turn-JP","Teen,Building,Driving,Edgy,Determined,90s"
"Breeze Slow-JP","Teen,Young,youthful,Upbeat,Carefree,Happy"
"Relax By The Shore-JP","Teen,Young,youthful,Upbeat,Carefree,Happy"
"Low Tide 002-JP","Chill,World,Travel,Inspired,Inspirational,Relaxed,Soaring,Flying,Airport,Airplane"
"Panarama-JP","Chill,World,Travel,Inspired,Inspirational,Relaxed,Soaring,Flying,Airport,Airplane"
"Just Happy To Help-OHM-JP","Going out,Night On The Town,happy reveal,Happy Rock,with a purpose,Moving forward,celebration rock,Success,Thankful,American Rock,Exciting,Inspirational"
"About Stat and Flow-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Ace in the Streets-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"All Ready for the Night-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"All Smooth Talker-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Raise Your Hands 001-JP","Celebrity,Party,Glamour,Style,Fashion,Vogue"
"All the Lanes Open-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Come and Meet Your Doom-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Dont Kick them Down-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Feels Smooth as Sunshine-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Forming on the Foundation-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Got to Make Sense-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Rhythym Be Bumping-JP","Sexy,Laid Back,Urban,Sensual,Jazzy,Sex"
"Ride By Smiling-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Sidewalks are Bright-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Stay Rockin With Them-JP","Sexy,Strut,Proud,Urban,baller,Inner City"
"Move Your Body 001-JP","Celebrity,AfroBeat,Glamour,Style,Reggaeton,Miami"
"How Do I Make A Melody-JP","Celebrity,Electro Swing,Glamour,Style,Reggaeton beat,Reggaeton"
"Go Higher-JP","Celebrity,Party,Glamour,Style,Fashion,Exciting"
"Cat Eyes-JP","Celebrity,Party,Glamour,Style,Fashion,Glamourous,Glamorous,Vogue,Voguing"
"Waking Up 003-JP","Bright,cheerful,Cheery,hopeful,Innocent,Kids,commercial"
"Machine Strut-JP","Dark,Gritty,dirty electro,distorted synths,Badass,focused pursuit,Syfy,Science Fiction,fashionable edm,Night Life,Catwalk,Fashion show"
"Sneaky Drunk-JP","Sneaky,Detective,Spy,Silly,Cartoon,Roger Rabbit,Cartoonish,Spying,Sneaking,Twin Peaks"
"Silly Drunk-JP","Sneaky,Detective,Spy,Silly,Cartoon,Roger Rabbit,Cartoonish,Spying,Sneaking,Twin Peaks"
"Confident Drunk-JP","Drunk,Drunkard,marching,Comedy,Determined,Silly"
"Waves No Drums-JP","Pop,Car,Indie,Sun,Chill,Chillwave"
"Those Programs-JP","New Wave,nu wave,nu disco,80s,Spacey,washy"
"The All Jazz No Drums-JP","Trumpet,Hip Hop,Bar,Evening,Laid Back,Chill"
"Kites 40-JP","Ambient,Chill,Synths,Future,Laid Back,Cool"
"Heat 001-JP","vaporwave,Chill,Retro,80s,Chillwave,Laid Back,Mac,Futuristic,Macintosh"
"Tequila Sunrise-JP","Dance,Party,House,Pop,Buildup,Building,Rave,Club"
"Where Were We?-OHM-JP","having a baby,Thankful,groove underbed,reality bed,Groove,Chill"
"New Beginning 002-JP","hopeful,Determined,Triumphant,Trying,Accomplished,Accomplishment,Bass,space,Dare,Playful,Humorous,Druggy,Freewheeling"
"With You By My Side-OHM-JP","having a baby,Thankful,groove underbed,reality bed,Groove,Chill"
"Great To See You-OHM-JP","Going out,Night On The Town,happy reveal,Happy Rock,with a purpose,Moving forward,celebration rock,Success,Thankful,American Rock,Exciting,Inspirational"
"Sticky Sunday-JP","Montage,Positive,Love,Summer"
"Designed Success-JP","hopeful,Determined,Triumphant,Trying,Accomplished,Accomplishment"
"Blue Sheet Run V2-MG-JP","Upbeat,Groovy,Funky,Playful,reality bed,Light Hearted"
"Tangy-JP","synth wave,80s,Orchestral,Synth Pop,stranger things,1980s,Dark,Lurking,Mysterious,Knight Rider"
"Stadium Tour","synth wave,Chillwave,80's,synthpop hip hop,Synthpop,1980s,Serious,stranger things,Emo,Emotional,Slow Motion"
"Nex-JP","80s,Chill wave,Synth,Trailer,reflective,Sad"
"Maui-JP","Chill wave,Synth,80's,1980s,Synthesizers,stranger things"
"Love Time","80s,Chill wave,Trailer,John Hughes,Feelings,Feeling,Emotional,Emotions,Moving,Momentous"
